
code	|	name	|	preferred name	|	lineage
1	|	Actinoplanes philippinensis	|	 	|	35752 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes rectilineatus	|	 	|	113571 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes regularis	|	 	|	52697 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes sp. N902-109	|	 	|	649831 2626549 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes sp. SE50/110	|	 	|	134676 2626549 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinoplanes utahensis	|	 	|	1869 1865 28056 85008 1760 201174 1783272 2 131567 
1	|	Actinopolymorpha alba	|	 	|	533267 117156 2805400 85009 1760 201174 1783272 2 131567 
1	|	Actinopolymorpha cephalotaxi	|	 	|	504797 117156 2805400 85009 1760 201174 1783272 2 131567 
1	|	Actinopolymorpha singaporensis	|	 	|	117157 117156 2805400 85009 1760 201174 1783272 2 131567 
1	|	Actinopolyspora halophila	|	 	|	1850 1849 622451 622450 1760 201174 1783272 2 131567 
1	|	Actinopolyspora mortivallis	|	 	|	33906 1849 622451 622450 1760 201174 1783272 2 131567 
1	|	Actinopolyspora righensis	|	 	|	995060 1849 622451 622450 1760 201174 1783272 2 131567 
1	|	Actinopolyspora xinjiangensis	|	 	|	405564 1849 622451 622450 1760 201174 1783272 2 131567 
1	|	Actinospica robiniae	|	 	|	304901 414715 414713 414714 1760 201174 1783272 2 131567 
1	|	Actinosynnema mirum	|	 	|	40567 40566 2070 85010 1760 201174 1783272 2 131567 
1	|	Actinotalea ferrariae	|	 	|	1386098 458839 85016 85006 1760 201174 1783272 2 131567 
1	|	Actinotignum schaalii	|	 	|	59505 1653174 2049 2037 1760 201174 1783272 2 131567 
1	|	Actinotignum urinale	|	 	|	190146 1653174 2049 2037 1760 201174 1783272 2 131567 
1	|	Acutalibacter muris	|	 	|	1796620 1918385 541000 186802 186801 1239 1783272 2 131567 
1	|	Acuticoccus yangtzensis	|	 	|	1443441 1904377 2685818 204455 28211 1224 2 131567 
1	|	Adhaeribacter aquaticus	|	 	|	299567 299566 1853232 768507 768503 976 68336 1783270 2 131567 
1	|	Adlercreutzia equolifaciens	|	 	|	446660 447020 1643826 1643822 84998 201174 1783272 2 131567 
1	|	Advenella kashmirensis	|	 	|	310575 290425 506 80840 28216 1224 2 131567 
1	|	Advenella mimigardefordensis	|	 	|	302406 290425 506 80840 28216 1224 2 131567 
1	|	Aequorivita capsosiphonis	|	 	|	487317 153265 49546 200644 117743 976 68336 1783270 2 131567 
1	|	Aequorivita sublithincola	|	 	|	101385 153265 49546 200644 117743 976 68336 1783270 2 131567 
1	|	Aequorivita viscosa	|	 	|	797419 153265 49546 200644 117743 976 68336 1783270 2 131567 
1	|	Aequorivita vladivostokensis	|	 	|	171194 153265 49546 200644 117743 976 68336 1783270 2 131567 
